UID,PA,Name
sa3003964,391.0,Ryan Grotjohn
sa3003965,478.0,Cole Peterson
sa3004032,316.0,Joseph Morgan
sa3004047,557.0,Gabriel Arias
sa3004060,376.0,Marcus Chiu
sa3004065,421.0,Jancarlos Cintron
sa3004066,213.0,Robbie Podorsky
sa3004128,497.0,Laz Rivera
sa3004137,467.0,Mitch Reeves
sa3004138,464.0,Nicholas Pratto
sa3004139,464.0,Mervyl Melendez
sa3004146,561.0,Jeisson Rosario
sa3004159,464.0,Charles Hicklen
sa3004160,519.0,Jake Scheiner
sa3004162,202.6,Rylan Bannon
sa3004165,491.0,Bligh Madris
sa3004166,120.5,Zach Reks
sa3004170,152.6,Austin Listi
sa3004174,194.6,Chas McCormick
sa3004179,386.0,Matt Batten
sa3004242,502.0,Chad Spanberger
sa3004255,401.0,Renae Martinez
sa3004256,608.0,Ryan Vilade
sa3004258,549.0,Calvin Mitchell
sa3004259,321.5,Royce Lewis
sa3004295,499.0,Ryan Dorow
sa3004378,219.8,Andrew Waters
sa3004385,359.0,Israel Pineda
sa3004390,399.0,Demetrius Sims
sa3004395,231.0,Nick Hutchins
sa3004398,153.0,Tyler Benson
sa3004510,252.0,Austin Bernard
sa3004517,434.0,Cam Balego
sa3004615,155.6,Jeter Downs
sa3004621,498.0,Jacob Meyers
sa3004687,482.0,Drew Ellis
sa3004693,241.333333333,Heliot Ramos
sa3004723,252.5,Nicholas Allen
sa3004726,467.0,Chris Sharpe
sa3004753,527.0,Bryce Johnson
sa3004755,308.5,Tyler Freeman
sa3004804,520.0,Brett Netzer
sa3004813,418.0,Logan Warmoth
sa3004840,478.0,Jack Larsen
sa3004878,249.0,Alex Dunlap
sa3004930,319.0,Austen Wade
sa3004934,541.0,Riley Delgado
sa3004968,524.0,Tristen Lutz
sa3004977,122.25,Gregory Deichmann
sa3004978,389.0,Robert Glendinning
sa3004996,267.0,Mark Kolozsvary
sa3005053,269.0,John-Daniel Osborne
sa3005081,561.0,Jacob Amaya
sa3005235,423.0,James Kerrigan
sa3005308,525.0,Diosbel Arias
sa3005360,538.0,Joseph Dunand
sa3005386,456.0,Dairon Blanco
sa3005394,320.0,Lorenzo Quintana
sa3005720,422.0,Julio Rodriguez
sa3006218,492.0,Ryan Fitzgerald
sa3006649,461.0,Lars Nootbaar
sa3006658,326.5,Seth Beer
sa3006660,176.0,Tyler Frank
sa3006664,412.0,Orlando Martinez
sa3006667,345.0,Robert Neustrom
sa3006673,155.75,Owen Miller
sa3006675,372.0,Brendan Donovan
sa3006683,352.0,Lukas Morgan
sa3006710,382.0,Keegan McGovern
sa3006711,374.0,Gage Canning
sa3006714,346.0,Nicholas Fortes
sa3006720,392.0,Nick Podkul
sa3006726,365.0,Ryne Ogren
sa3006727,267.0,Christopher Bec
sa3006729,463.0,Jacob Rhinesmith
sa3006735,457.0,Justin Toerner
sa3006786,254.4,Jarren Duran
sa3006791,464.0,Connor Kopach
sa3006848,409.0,Andrew Deatherage
sa3006857,117.0,John Conley
sa3006861,316.0,Kyle Isbel
sa3006869,390.0,Devin Mann
sa3006871,495.0,Cal Stevenson
sa3006887,460.0,Ronny Mauricio
sa3006892,474.0,Alek Thomas
sa3006896,491.0,Miguel Vargas
sa3006912,226.0,Charles Alexander
sa3006927,493.0,Chase Calabuig
sa3006937,426.0,Drew Avans
sa3006938,306.0,Logan Brown
sa3007007,428.0,Dillon Paulson
sa3007014,523.0,Alfonso Rivas
sa3007015,275.0,Jacob McCarthy
sa3007017,533.0,Nolan Gorman
sa3007018,593.0,Xavier Edwards
sa3007033,419.0,Wander Franco
sa3007042,375.0,John Heyer
sa3007044,475.0,Greyson Jenista
sa3007053,341.0,Niko Hulsizer
sa3007063,497.0,David Villar
sa3007069,454.0,Greg Cullen
sa3007070,440.0,Justin Dean
sa3007303,242.0,Fabian Pena
sa3007307,322.0,Brian Rey
sa3007504,240.0,Justin Harrer
sa3007512,543.0,Travis Swaggerty
sa3007516,458.0,Jonah Bride
sa3007634,540.0,Triston Casas
sa3007635,226.0,Jon Rosoff
sa3007638,361.0,Kyle Marinconz
sa3007643,374.0,Terrin Vavra
sa3007646,262.0,Clayton Daniel
sa3007741,387.8,Jarred Kelenic
sa3007826,220.0,Nicholas Meyer
sa3007870,221.0,Connor Hollis
sa3007876,207.0,Brennen Davis
sa3007943,412.0,Parker Meadows
sa3008002,195.666666667,Kody Clemens
sa3008077,218.0,Tristan Pompey
sa3008079,513.0,Carlos Cortes
sa3008080,451.0,Connor Scott
sa3008140,374.0,Cadyn Grenier
sa3008178,500.0,Jonathan India
sa3008182,541.0,Michael Siani
sa3008183,374.0,James Herron
